studentsStreamId,groupNumber,sessionType,courseName,sessionLength,teacherId,areComputersRequired
Software Engineering (year: 3),,LECTURE,Data compression,4,98,f
Software Engineering (year: 3),1,TUTORIAL,Data compression,4,99,f
Software Engineering (year: 3),2,TUTORIAL,Data compression,4,100,f
Software Engineering (year: 3),3,TUTORIAL,Data compression,4,101,f
Software Engineering (year: 3),4,TUTORIAL,Data compression,4,102,f
Software Engineering (year: 3),5,TUTORIAL,Data compression,4,103,f
Software Engineering (year: 3),,LECTURE,Data structures,2,104,f
Software Engineering (year: 3),1,TUTORIAL,Data structures,2,105,f
Software Engineering (year: 3),2,TUTORIAL,Data structures,2,106,f
Software Engineering (year: 3),3,TUTORIAL,Data structures,2,107,f
Software Engineering (year: 3),4,TUTORIAL,Data structures,2,108,f
Software Engineering (year: 3),5,TUTORIAL,Data structures,2,109,f
Software Engineering (year: 3),,LECTURE,Information security,3,110,f
Software Engineering (year: 3),1,TUTORIAL,Information security,3,111,f
Software Engineering (year: 3),2,TUTORIAL,Information security,3,112,f
Software Engineering (year: 3),3,TUTORIAL,Information security,3,113,f
Software Engineering (year: 3),4,TUTORIAL,Information security,3,114,f
Software Engineering (year: 3),5,TUTORIAL,Information security,3,115,f
Statistics (year: 3),,LECTURE,Cryptography,4,116,f
Statistics (year: 3),1,TUTORIAL,Cryptography,4,117,t
Statistics (year: 3),,LECTURE,Information Management,2,118,f
Statistics (year: 3),1,TUTORIAL,Information Management,2,119,f
Statistics (year: 3),,LECTURE,Networking,3,120,f
Statistics (year: 3),1,TUTORIAL,Networking,3,121,f
Statistics (year: 3),,LECTURE,Wireless systems,4,122,f
Statistics (year: 3),1,TUTORIAL,Wireless systems,4,123,f
Statistics (year: 3),,LECTURE,Client/Server and other types of communication,2,124,f
Statistics (year: 3),1,TUTORIAL,Client/Server and other types of communication,2,125,f
Software Engineering (year: 1),,LECTURE,Server administration,3,126,f
Software Engineering (year: 1),1,TUTORIAL,Server administration,3,127,t
Software Engineering (year: 1),2,TUTORIAL,Server administration,3,128,t
Software Engineering (year: 1),3,TUTORIAL,Server administration,3,129,t
Software Engineering (year: 1),4,TUTORIAL,Server administration,3,130,t
Software Engineering (year: 1),5,TUTORIAL,Server administration,3,131,t
Software Engineering (year: 1),6,TUTORIAL,Server administration,3,132,t
Software Engineering (year: 1),,LECTURE,Data Management,4,133,f
Software Engineering (year: 1),1,TUTORIAL,Data Management,4,134,f
Software Engineering (year: 1),2,TUTORIAL,Data Management,4,135,f
Software Engineering (year: 1),3,TUTORIAL,Data Management,4,136,f
Software Engineering (year: 1),4,TUTORIAL,Data Management,4,137,f
Software Engineering (year: 1),5,TUTORIAL,Data Management,4,138,f
Software Engineering (year: 1),6,TUTORIAL,Data Management,4,139,f
Software Engineering (year: 1),,LECTURE,Operating Systems,2,140,f
Software Engineering (year: 1),1,TUTORIAL,Operating Systems,2,141,f
Software Engineering (year: 1),2,TUTORIAL,Operating Systems,2,142,f
Software Engineering (year: 1),3,TUTORIAL,Operating Systems,2,143,f
Software Engineering (year: 1),4,TUTORIAL,Operating Systems,2,144,f
Software Engineering (year: 1),5,TUTORIAL,Operating Systems,2,145,f
Software Engineering (year: 1),6,TUTORIAL,Operating Systems,2,146,f
Software Engineering (year: 1),,LECTURE,Artificial intelligence,3,147,f
Software Engineering (year: 1),1,TUTORIAL,Artificial intelligence,3,148,f
Software Engineering (year: 1),2,TUTORIAL,Artificial intelligence,3,149,f
Software Engineering (year: 1),3,TUTORIAL,Artificial intelligence,3,150,f
Software Engineering (year: 1),4,TUTORIAL,Artificial intelligence,3,151,f
Software Engineering (year: 1),5,TUTORIAL,Artificial intelligence,3,152,f
Software Engineering (year: 1),6,TUTORIAL,Artificial intelligence,3,153,f
Software Engineering (year: 1),,LECTURE,Natural Language Processing,4,154,f
Software Engineering (year: 1),1,TUTORIAL,Natural Language Processing,4,155,f
Software Engineering (year: 1),2,TUTORIAL,Natural Language Processing,4,156,f
Software Engineering (year: 1),3,TUTORIAL,Natural Language Processing,4,157,f
Software Engineering (year: 1),4,TUTORIAL,Natural Language Processing,4,158,f
Software Engineering (year: 1),5,TUTORIAL,Natural Language Processing,4,159,f
Software Engineering (year: 1),6,TUTORIAL,Natural Language Processing,4,160,f
Informatics (year: 1),,LECTURE,Machine learning,2,161,f
Informatics (year: 1),1,TUTORIAL,Machine learning,2,162,t
Informatics (year: 1),2,TUTORIAL,Machine learning,2,163,t
Informatics (year: 1),3,TUTORIAL,Machine learning,2,164,t
Informatics (year: 1),4,TUTORIAL,Machine learning,2,165,t
Informatics (year: 1),5,TUTORIAL,Machine learning,2,166,t
Informatics (year: 1),6,TUTORIAL,Machine learning,2,167,t
Informatics (year: 1),,LECTURE,Introduction to algorithms,3,168,f
Informatics (year: 1),1,TUTORIAL,Introduction to algorithms,3,169,f
Informatics (year: 1),2,TUTORIAL,Introduction to algorithms,3,170,f
Informatics (year: 1),3,TUTORIAL,Introduction to algorithms,3,171,f
Informatics (year: 1),4,TUTORIAL,Introduction to algorithms,3,172,f
Informatics (year: 1),5,TUTORIAL,Introduction to algorithms,3,173,f
Informatics (year: 1),6,TUTORIAL,Introduction to algorithms,3,174,f
Informatics (year: 1),,LECTURE,Numerical Algorithms,4,175,f
Informatics (year: 1),1,TUTORIAL,Numerical Algorithms,4,176,f
Informatics (year: 1),2,TUTORIAL,Numerical Algorithms,4,177,f
Informatics (year: 1),3,TUTORIAL,Numerical Algorithms,4,178,f
Informatics (year: 1),4,TUTORIAL,Numerical Algorithms,4,179,f
Informatics (year: 1),5,TUTORIAL,Numerical Algorithms,4,180,f
Informatics (year: 1),6,TUTORIAL,Numerical Algorithms,4,181,f
Informatics (year: 1),,LECTURE,Number Theory,2,182,f
Informatics (year: 1),1,TUTORIAL,Number Theory,2,183,f
Informatics (year: 1),2,TUTORIAL,Number Theory,2,184,f
Informatics (year: 1),3,TUTORIAL,Number Theory,2,185,f
Informatics (year: 1),4,TUTORIAL,Number Theory,2,186,f
Informatics (year: 1),5,TUTORIAL,Number Theory,2,187,f
Informatics (year: 1),6,TUTORIAL,Number Theory,2,188,f
Informatics (year: 1),,LECTURE,Introductory Discrete Mathematics for Computer Science,3,189,f
Informatics (year: 1),1,TUTORIAL,Introductory Discrete Mathematics for Computer Science,3,190,f
Informatics (year: 1),2,TUTORIAL,Introductory Discrete Mathematics for Computer Science,3,191,f
Informatics (year: 1),3,TUTORIAL,Introductory Discrete Mathematics for Computer Science,3,192,f
Informatics (year: 1),4,TUTORIAL,Introductory Discrete Mathematics for Computer Science,3,193,f
Informatics (year: 1),5,TUTORIAL,Introductory Discrete Mathematics for Computer Science,3,194,f
Informatics (year: 1),6,TUTORIAL,Introductory Discrete Mathematics for Computer Science,3,195,f
Mathematics and Informatics (year: 4),,LECTURE,Computer Engineering,4,196,f
Mathematics and Informatics (year: 4),1,TUTORIAL,Computer Engineering,4,197,t
Mathematics and Informatics (year: 4),2,TUTORIAL,Computer Engineering,4,198,t
Mathematics and Informatics (year: 4),3,TUTORIAL,Computer Engineering,4,199,t
Mathematics and Informatics (year: 4),4,TUTORIAL,Computer Engineering,4,200,t
Mathematics and Informatics (year: 4),,LECTURE,Computer architecture,2,1,f
Mathematics and Informatics (year: 4),1,TUTORIAL,Computer architecture,2,2,f
Mathematics and Informatics (year: 4),2,TUTORIAL,Computer architecture,2,3,f
Mathematics and Informatics (year: 4),3,TUTORIAL,Computer architecture,2,4,f
Mathematics and Informatics (year: 4),4,TUTORIAL,Computer architecture,2,5,f
Mathematics and Informatics (year: 4),,LECTURE,Introduction to Computer Architecture,3,6,f
Mathematics and Informatics (year: 4),1,TUTORIAL,Introduction to Computer Architecture,3,7,f
Mathematics and Informatics (year: 4),2,TUTORIAL,Introduction to Computer Architecture,3,8,f
Mathematics and Informatics (year: 4),3,TUTORIAL,Introduction to Computer Architecture,3,9,f
Mathematics and Informatics (year: 4),4,TUTORIAL,Introduction to Computer Architecture,3,10,f
Mathematics and Informatics (year: 4),,LECTURE,Service Oriented Architecture,4,11,f
Mathematics and Informatics (year: 4),1,TUTORIAL,Service Oriented Architecture,4,12,f
Mathematics and Informatics (year: 4),2,TUTORIAL,Service Oriented Architecture,4,13,f
Mathematics and Informatics (year: 4),3,TUTORIAL,Service Oriented Architecture,4,14,f
Mathematics and Informatics (year: 4),4,TUTORIAL,Service Oriented Architecture,4,15,f
Mathematics and Informatics (year: 4),,LECTURE,Electronic Design,2,16,f
Mathematics and Informatics (year: 4),1,TUTORIAL,Electronic Design,2,17,f
Mathematics and Informatics (year: 4),2,TUTORIAL,Electronic Design,2,18,f
Mathematics and Informatics (year: 4),3,TUTORIAL,Electronic Design,2,19,f
Mathematics and Informatics (year: 4),4,TUTORIAL,Electronic Design,2,20,f
Information Systems (year: 3),,LECTURE,Logic Design,3,21,f
Information Systems (year: 3),1,TUTORIAL,Logic Design,3,22,t
Information Systems (year: 3),2,TUTORIAL,Logic Design,3,23,t
Information Systems (year: 3),3,TUTORIAL,Logic Design,3,24,t
Information Systems (year: 3),,LECTURE,Processor Architecture,4,25,f
Information Systems (year: 3),1,TUTORIAL,Processor Architecture,4,26,f
Information Systems (year: 3),2,TUTORIAL,Processor Architecture,4,27,f
Information Systems (year: 3),3,TUTORIAL,Processor Architecture,4,28,f
Information Systems (year: 3),,LECTURE,Data Logic,2,29,f
Information Systems (year: 3),1,TUTORIAL,Data Logic,2,30,f
Information Systems (year: 3),2,TUTORIAL,Data Logic,2,31,f
Information Systems (year: 3),3,TUTORIAL,Data Logic,2,32,f
Information Systems (year: 3),,LECTURE,Computer Logic,3,33,f
Information Systems (year: 3),1,TUTORIAL,Computer Logic,3,34,f
Information Systems (year: 3),2,TUTORIAL,Computer Logic,3,35,f
Information Systems (year: 3),3,TUTORIAL,Computer Logic,3,36,f
Information Systems (year: 3),,LECTURE,Statistics,4,37,f
Information Systems (year: 3),1,TUTORIAL,Statistics,4,38,f
Information Systems (year: 3),2,TUTORIAL,Statistics,4,39,f
Information Systems (year: 3),3,TUTORIAL,Statistics,4,40,f
Information Systems (year: 1),,LECTURE,Graph theory,2,41,f
Information Systems (year: 1),1,TUTORIAL,Graph theory,2,42,t
Information Systems (year: 1),2,TUTORIAL,Graph theory,2,43,t
Information Systems (year: 1),3,TUTORIAL,Graph theory,2,44,t
Information Systems (year: 1),4,TUTORIAL,Graph theory,2,45,t
Information Systems (year: 1),,LECTURE,Automata theory,3,46,f
Information Systems (year: 1),1,TUTORIAL,Automata theory,3,47,f
Information Systems (year: 1),2,TUTORIAL,Automata theory,3,48,f
Information Systems (year: 1),3,TUTORIAL,Automata theory,3,49,f
Information Systems (year: 1),4,TUTORIAL,Automata theory,3,50,f
Information Systems (year: 1),,LECTURE,Complexity theory,4,51,f
Information Systems (year: 1),1,TUTORIAL,Complexity theory,4,52,f
Information Systems (year: 1),2,TUTORIAL,Complexity theory,4,53,f
Information Systems (year: 1),3,TUTORIAL,Complexity theory,4,54,f
Information Systems (year: 1),4,TUTORIAL,Complexity theory,4,55,f
Information Systems (year: 1),,LECTURE,Multimedia,2,56,f
Information Systems (year: 1),1,TUTORIAL,Multimedia,2,57,f
Information Systems (year: 1),2,TUTORIAL,Multimedia,2,58,f
Information Systems (year: 1),3,TUTORIAL,Multimedia,2,59,f
Information Systems (year: 1),4,TUTORIAL,Multimedia,2,60,f
Information Systems (year: 1),,LECTURE,Graphic design with computers,3,61,f
Information Systems (year: 1),1,TUTORIAL,Graphic design with computers,3,62,f
Information Systems (year: 1),2,TUTORIAL,Graphic design with computers,3,63,f
Information Systems (year: 1),3,TUTORIAL,Graphic design with computers,3,64,f
Information Systems (year: 1),4,TUTORIAL,Graphic design with computers,3,65,f
Mathematics (year: 4),,LECTURE,Computer-aided Geometric Design,4,66,f
Mathematics (year: 4),1,TUTORIAL,Computer-aided Geometric Design,4,67,t
Mathematics (year: 4),,LECTURE,Scientific computing,2,68,f
Mathematics (year: 4),1,TUTORIAL,Scientific computing,2,69,f
Mathematics (year: 4),,LECTURE,Bioinformatics,3,70,f
Mathematics (year: 4),1,TUTORIAL,Bioinformatics,3,71,f
Mathematics (year: 4),,LECTURE,Geoinformatics,4,72,f
Mathematics (year: 4),1,TUTORIAL,Geoinformatics,4,73,f
Mathematics (year: 4),,LECTURE,Web Services,2,74,f
Mathematics (year: 4),1,TUTORIAL,Web Services,2,75,f
Informatics (year: 2),,LECTURE,Web design,3,76,f
Informatics (year: 2),1,TUTORIAL,Web design,3,77,t
Informatics (year: 2),2,TUTORIAL,Web design,3,78,t
Informatics (year: 2),3,TUTORIAL,Web design,3,79,t
Informatics (year: 2),4,TUTORIAL,Web design,3,80,t
Informatics (year: 2),,LECTURE,Web Applets,4,81,f
Informatics (year: 2),1,TUTORIAL,Web Applets,4,82,f
Informatics (year: 2),2,TUTORIAL,Web Applets,4,83,f
Informatics (year: 2),3,TUTORIAL,Web Applets,4,84,f
Informatics (year: 2),4,TUTORIAL,Web Applets,4,85,f
Informatics (year: 2),,LECTURE,Design Physics,2,86,f
Informatics (year: 2),1,TUTORIAL,Design Physics,2,87,f
Informatics (year: 2),2,TUTORIAL,Design Physics,2,88,f
Informatics (year: 2),3,TUTORIAL,Design Physics,2,89,f
Informatics (year: 2),4,TUTORIAL,Design Physics,2,90,f
Informatics (year: 2),,LECTURE,Business process management,3,91,f
Informatics (year: 2),1,TUTORIAL,Business process management,3,92,f
Informatics (year: 2),2,TUTORIAL,Business process management,3,93,f
Informatics (year: 2),3,TUTORIAL,Business process management,3,94,f
Informatics (year: 2),4,TUTORIAL,Business process management,3,95,f
Informatics (year: 2),,LECTURE,Computational geometry,4,96,f
Informatics (year: 2),1,TUTORIAL,Computational geometry,4,97,f
Informatics (year: 2),2,TUTORIAL,Computational geometry,4,98,f
Informatics (year: 2),3,TUTORIAL,Computational geometry,4,99,f
Informatics (year: 2),4,TUTORIAL,Computational geometry,4,100,f
Applied Mathematics (year: 3),,LECTURE,Computational linguistics,2,101,f
Applied Mathematics (year: 3),1,TUTORIAL,Computational linguistics,2,102,t
Applied Mathematics (year: 3),2,TUTORIAL,Computational linguistics,2,103,t
Applied Mathematics (year: 3),,LECTURE,Digital Libraries,3,104,f
Applied Mathematics (year: 3),1,TUTORIAL,Digital Libraries,3,105,f
Applied Mathematics (year: 3),2,TUTORIAL,Digital Libraries,3,106,f
Applied Mathematics (year: 3),,LECTURE,Nonkilling Technology,4,107,f
Applied Mathematics (year: 3),1,TUTORIAL,Nonkilling Technology,4,108,f
Applied Mathematics (year: 3),2,TUTORIAL,Nonkilling Technology,4,109,f
Applied Mathematics (year: 3),,LECTURE,Quantum computing,2,110,f
Applied Mathematics (year: 3),1,TUTORIAL,Quantum computing,2,111,f
Applied Mathematics (year: 3),2,TUTORIAL,Quantum computing,2,112,f
Applied Mathematics (year: 3),,LECTURE,Software freedom,3,113,f
Applied Mathematics (year: 3),1,TUTORIAL,Software freedom,3,114,f
Applied Mathematics (year: 3),2,TUTORIAL,Software freedom,3,115,f
Informatics (year: 4),,LECTURE,Device Utilization,4,116,f
Informatics (year: 4),1,TUTORIAL,Device Utilization,4,117,t
Informatics (year: 4),2,TUTORIAL,Device Utilization,4,118,t
Informatics (year: 4),3,TUTORIAL,Device Utilization,4,119,t
Informatics (year: 4),,LECTURE,Parallel computing,2,120,f
Informatics (year: 4),1,TUTORIAL,Parallel computing,2,121,f
Informatics (year: 4),2,TUTORIAL,Parallel computing,2,122,f
Informatics (year: 4),3,TUTORIAL,Parallel computing,2,123,f
Informatics (year: 4),,LECTURE,Concurrency and real-time programming,3,124,f
Informatics (year: 4),1,TUTORIAL,Concurrency and real-time programming,3,125,f
Informatics (year: 4),2,TUTORIAL,Concurrency and real-time programming,3,126,f
Informatics (year: 4),3,TUTORIAL,Concurrency and real-time programming,3,127,f
Informatics (year: 4),,LECTURE,Algebra,4,128,f
Informatics (year: 4),1,TUTORIAL,Algebra,4,129,f
Informatics (year: 4),2,TUTORIAL,Algebra,4,130,f
Informatics (year: 4),3,TUTORIAL,Algebra,4,131,f
Informatics (year: 4),,LECTURE,Fundamental Mathematics,2,132,f
Informatics (year: 4),1,TUTORIAL,Fundamental Mathematics,2,133,f
Informatics (year: 4),2,TUTORIAL,Fundamental Mathematics,2,134,f
Informatics (year: 4),3,TUTORIAL,Fundamental Mathematics,2,135,f
Applied Mathematics (year: 1),,LECTURE,Analysis,3,136,f
Applied Mathematics (year: 1),1,TUTORIAL,Analysis,3,137,t
Applied Mathematics (year: 1),2,TUTORIAL,Analysis,3,138,t
Applied Mathematics (year: 1),,LECTURE,Category theory,4,139,f
Applied Mathematics (year: 1),1,TUTORIAL,Category theory,4,140,f
Applied Mathematics (year: 1),2,TUTORIAL,Category theory,4,141,f
Applied Mathematics (year: 1),,LECTURE,Number Theory,2,142,f
Applied Mathematics (year: 1),1,TUTORIAL,Number Theory,2,143,f
Applied Mathematics (year: 1),2,TUTORIAL,Number Theory,2,144,f
Applied Mathematics (year: 1),,LECTURE,Philosophy of Mathematics,3,145,f
Applied Mathematics (year: 1),1,TUTORIAL,Philosophy of Mathematics,3,146,f
Applied Mathematics (year: 1),2,TUTORIAL,Philosophy of Mathematics,3,147,f
Applied Mathematics (year: 1),,LECTURE,Topology,4,148,f
Applied Mathematics (year: 1),1,TUTORIAL,Topology,4,149,f
Applied Mathematics (year: 1),2,TUTORIAL,Topology,4,150,f
Mathematics (year: 2),,LECTURE,Actuarial Mathematics,2,151,f
Mathematics (year: 2),1,TUTORIAL,Actuarial Mathematics,2,152,t
Mathematics (year: 2),,LECTURE,Finance,3,153,f
Mathematics (year: 2),1,TUTORIAL,Finance,3,154,f
Mathematics (year: 2),,LECTURE,Applied Calculus,4,155,f
Mathematics (year: 2),1,TUTORIAL,Applied Calculus,4,156,f
Mathematics (year: 2),,LECTURE,Applied Analysis,2,157,f
Mathematics (year: 2),1,TUTORIAL,Applied Analysis,2,158,f
Mathematics (year: 2),,LECTURE,Applied Differential Equations,3,159,f
Mathematics (year: 2),1,TUTORIAL,Applied Differential Equations,3,160,f
Computer Science (1) (year: 3),,LECTURE,Applied Category Theory,4,161,f
Computer Science (2) (year: 3),,LECTURE,Applied Category Theory,4,162,f
Computer Science (1) (year: 3),1,TUTORIAL,Applied Category Theory,4,163,t
Computer Science (2) (year: 3),1,TUTORIAL,Applied Category Theory,4,164,t
Computer Science (1) (year: 3),2,TUTORIAL,Applied Category Theory,4,165,t
Computer Science (2) (year: 3),2,TUTORIAL,Applied Category Theory,4,166,t
Computer Science (1) (year: 3),3,TUTORIAL,Applied Category Theory,4,167,t
Computer Science (2) (year: 3),3,TUTORIAL,Applied Category Theory,4,168,t
Computer Science (1) (year: 3),4,TUTORIAL,Applied Category Theory,4,169,t
Computer Science (2) (year: 3),4,TUTORIAL,Applied Category Theory,4,170,t
Computer Science (1) (year: 3),,LECTURE,Board Game Studies,2,171,f
Computer Science (2) (year: 3),,LECTURE,Board Game Studies,2,172,f
Computer Science (1) (year: 3),1,TUTORIAL,Board Game Studies,2,173,f
Computer Science (2) (year: 3),1,TUTORIAL,Board Game Studies,2,174,f
Computer Science (1) (year: 3),2,TUTORIAL,Board Game Studies,2,175,f
Computer Science (2) (year: 3),2,TUTORIAL,Board Game Studies,2,176,f
Computer Science (1) (year: 3),3,TUTORIAL,Board Game Studies,2,177,f
Computer Science (2) (year: 3),3,TUTORIAL,Board Game Studies,2,178,f
Computer Science (1) (year: 3),4,TUTORIAL,Board Game Studies,2,179,f
Computer Science (2) (year: 3),4,TUTORIAL,Board Game Studies,2,180,f
Computer Science (1) (year: 3),,LECTURE,Combinatorics,3,181,f
Computer Science (2) (year: 3),,LECTURE,Combinatorics,3,182,f
Computer Science (1) (year: 3),1,TUTORIAL,Combinatorics,3,183,f
Computer Science (2) (year: 3),1,TUTORIAL,Combinatorics,3,184,f
Computer Science (1) (year: 3),2,TUTORIAL,Combinatorics,3,185,f
Computer Science (2) (year: 3),2,TUTORIAL,Combinatorics,3,186,f
Computer Science (1) (year: 3),3,TUTORIAL,Combinatorics,3,187,f
Computer Science (2) (year: 3),3,TUTORIAL,Combinatorics,3,188,f
Computer Science (1) (year: 3),4,TUTORIAL,Combinatorics,3,189,f
Computer Science (2) (year: 3),4,TUTORIAL,Combinatorics,3,190,f
Computer Science (1) (year: 3),,LECTURE,Discrete Mathematics,4,191,f
Computer Science (2) (year: 3),,LECTURE,Discrete Mathematics,4,192,f
Computer Science (1) (year: 3),1,TUTORIAL,Discrete Mathematics,4,193,f
